longitude,latitude,code,name,phone,state,city,milesNyc,minNyc,hrNyc,timeNyc,URL,shower,showerIcon,pets,petsIcon,filters
-75,41.027,MOHI,Mohican Campsite,603.466.2727,NJ,Blairstown,60.99,81,"2 hours, 3 hours",1h 21m,https://www.outdoors.org/destinations/new-jersey-new-york/mohican-campsites/,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets"
-74.689,41.291,HIGH,High Point State Park,973.875.4800,NJ,Sussex,58.79,83,"2 hours, 3 hours",1h 23m,https://www.njportal.com/DEP/NJOutdoors/Park/Details?locationId=7,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets"
-74.762,41.227,OCQU,Stokes State Forest,973.948.3820,NJ,Branchville,63.43,87,"2 hours, 3 hours",1h 27m,https://www.njportal.com/DEP/NJOutdoors/Park/Details?locationId=14,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets"
-74.795,41.198,SHOT,Stokes State Forest,973.948.3820,NJ,Sandyston,63.43,87,"2 hours, 3 hours",1h 27m,https://www.njportal.com/DEP/NJOutdoors/Park/Details?locationId=14,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets"
-74.82,41.076,SWAR,Swartswood State Park,973.383.5230,NJ,Newton,62.02,87,"2 hours, 3 hours",1h 27m,https://www.njportal.com/DEP/NJOutdoors/Park/Details?locationId=15,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets"
-73.52,42.121,COPA,Taconic State Park,518.329.3993,NY,Copake Falls,64.49,89,"2 hours, 3 hours",1h 29m,https://newyorkstateparks.reserveamerica.com/camping/taconicstatepark(ruddpondarea)/r/campgroundDetails.do?contractCode=NY&parkId=418,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets"
-72.943,40.87,CATH,Cathedral Pines County Park,631.852.5502,NY,Middle Island,56.92,94,"2 hours, 3 hours",1h 34m,https://www.suffolkcountyny.gov/departments/Parks/Our-Parks/cathedral-pines-county-park,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets"
-73.831,41.461,CLAR,Clarence Fahnestock State Park,845.225.7207,NY,Carmel,68.64,96,"2 hours, 3 hours",1h 36m,https://newyorkstateparks.reserveamerica.com/camping/clarence-fahnestock-state-park/r/campgroundDetails.do?contractCode=NY&parkId=409,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets"
-74.273,41.537,WIND,Winding Hills Park,845.457.4900,NY,Montgomery,74.58,97,"2 hours, 3 hours",1h 37m,Call,,,,,
-75.104,41.005,WORT,Worthington State Forest,908.841.9575,NJ,Columbia,65.51,98,"2 hours, 3 hours",1h 38m,https://www.njportal.com/DEP/NJOutdoors/Park/Details?locationId=20,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",no,"<i class=""fa-solid fa-dog"" style=""color: #c6533f;""></i>",Showers
-72.89,40.803,SOUC,Southaven County Park,631.854.1414,NY,,70.39,98,"2 hours, 3 hours",1h 38m,,,,,,
-74.522,39.872,BREN,Brendan T. Byrne State Forest,609.726.1191,NJ,Vincentown,87.11,107,"2 hours, 3 hours",1h 47m,https://www.njportal.com/DEP/NJOutdoors/Park/Details?locationId=5,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets"
-75.079,40.441,TOHI,Tohickon Valley County Park,215.297.0754,PA,Point Pleasant,72.51,107,"2 hours, 3 hours",1h 47m,,,,,,
-73.205,41.421,KETT,Kettletown State Park,203.264.5169,CT,Southbury,81.4,107,"2 hours, 3 hours",1h 47m,,,,,,
-72.629,40.927,INDI,Indian Island Park,631.852.3232,NY,Riverhead,77.05,109,"2 hours, 3 hours",1h 49m,https://www.suffolkcountyny.gov/Departments/Parks/Our-Parks/Indian-Island-County-Park,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets"
-74.873,41.211,DING,Dingmans - Delaware Water Gap National Rec Area,570.828.1551,PA,Dingman's Ferr,71.17,110,"2 hours, 3 hours",1h 50m,,,,,,
-72.805,40.963,WILD,Wildwood State Park,631.929.4314,NY,Wading River,76.37,111,"2 hours, 3 hours",1h 51m,,,,,,
-74.734,39.743,ATSI,Wharton State Forest,609.268.0444,NJ,Shamong,90.1,117,"2 hours, 3 hours",1h 57m,https://www.njportal.com/DEP/NJOutdoors/Park/Details?locationId=19,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets"
-72.555,40.888,SEAR,Sears Bellows,631.852.8290,NY,Hampton Bays,86.28,118,"2 hours, 3 hours",1h 58m,http://www.suffolkcountyny.gov/Departments/Parks/OurParks/SearsBellowsCountyPark.aspx,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets"
-73.494,41.777,MACE,Macedonia Brook State Park,860.927.3238,CT,Kent,84.03,118,"2 hours, 3 hours",1h 58m,,,,,,
-74.547,39.69,GODF,Wharton State Forest,609.561.0024,NJ,Chatsworth,98.61,119,"2 hours, 3 hours",1h 59m,https://www.njportal.com/DEP/NJOutdoors/Park/Details?locationId=19,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets"
-75.267,40.476,LAKT,Lake Towhee County Park,215.757.0571,PA,Applebachsvill,92.23,120,"2 hours, 3 hours",2h,,,,,,
-73.384,41.709,LAKE,Lake Waramaug State Park,860.868.0220,CT,Kent,91.71,123,"2 hours, 3 hours",2h 3m,,,,,,
-72.472,40.842,SHIN,Shinnecock East County Park,631.852.8899,NY,Southampton,91.5,124,3 hours,2h 4m,https://www.suffolkcountyny.gov/Departments/Parks/Our-Parks/Shinnecock-East-County-Park,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets"
-75.397,41.207,TOBY,Tobyhanna State Park,570.894.8336,PA,Tobyhanna,96.72,124,3 hours,2h 4m,,,,,,
-73.216,41.727,WIND,White Memorial Family Campground,860.567.0089,CT,Litchfield,93.93,124,3 hours,2h 4m,,,,,,
-72.738,40.771,CUPS,Cupsogue Beach County Park,631.852.8111,NY,Westhampton,85.25,125,3 hours,2h 5m,https://www.suffolkcountyny.gov/Departments/Parks/Our-Parks/Cupsogue-Beach-County-Park,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets"
-73.932,41.84,MARG,Margaret Norrie State Park,845.889.4646,NY,Staatsburg,89.14,126,3 hours,2h 6m,https://newyorkstateparks.reserveamerica.com/camping/mills-norriestatepark/r/campgroundDetails.do?contractCode=NY&parkId=401,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets"
-73.224,41.71,POIN,Point Folly - White Memorial,860.567.0089,CT,Bantam,95.06,126,3 hours,2h 6m,,,,,,
-73.724,41.953,WILC,Wilcox Memorial Park,845.758.6100,NY,Milan,92.63,128,3 hours,2h 8m,,,,,,
-73.098,41.651,BLAC,Black Rock State Park,860.283.8088,CT,Thomaston,97.64,130,3 hours,2h 10m,,,,,,
-73.377,41.823,HOUS,Housatonic Meadows State Park,860.672.6772,CT,Sharon,97.71,135,3 hours,2h 15m,,,,,,
-75.182,41.449,WILS,Wilsonville Rec Area ,570.226.4382,PA,Hawley,94.64,136,3 hours,2h 16m,,,,,,
-72.556,41.265,HAMM,Hammonasset State Park,203.245.1817,CT,Madison,96.39,136,3 hours,2h 16m,,,,,,
-73.508,41.983,RUDD,Rudd Pond - Taconic State Park,518.789.3059,NY,Millerton,99.85,137,3 hours,2h 17m,https://newyorkstateparks.reserveamerica.com/Camping/TaconicStatePark(RuddPondArea)/r/campgroundDetails.do?subTabIndex=campDetail&agency=NY&parkId=418,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets"
-75.279,41.368,IRON,Ironwood Point Rec Area ,570.857.0880,PA,Greentown,101.09,138,3 hours,2h 18m,,,,,,
-75.696,41.026,HICK,Hickory Run State Park,570.444.405,PA,White Haven,110.14,139,3 hours,2h 19m,,,,,,
-72.226,41.028,CEDS,Cedar Point Suffolk County Park,631.852.7620,NY,East Hampton,106.67,140,3 hours,2h 20m,https://www.reserveamerica.com/explore/cedar-point-state-park/NY/347/overview,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets"
-75.723,40.166,WARW,Warwick County Park,610.469.1916,PA,Pottstown,119.36,141,3 hours,2h 21m,,,,,,
-72.373,41.104,MCCA,McCann Campground,631.477.0043,NY,Greenport,98.65,142,3 hours,2h 22m,Call,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets"
-75.319,41.366,LEDG,Ledgedale Rec Area,570.689.2181,PA,Lake Ariel,102.8,145,3 hours,2h 25m,,,,,,
-75.139,39.509,PARV,Parvin State Park,856.358.8616,NJ,Pittsgrove Twp.,116.16,147,3 hours,2h 27m,https://www.njportal.com/DEP/NJOutdoors/Park/Details?locationId=10,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets"
-75.801,40.846,MAUC,Mauch Chunk Lake County Park,570.325.3669,PA,Jim Thorpe,104.68,148,3 hours,2h 28m,,,,,,
-73.708,42.094,LAKT,Lake Taghkanic State Park,518.851.3631,NY,Ancram,108.18,149,3 hours,2h 29m,https://www.reserveamerica.com/explore/lake-taghkanic-state-park/NY/404/overview,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets"
-75.21,41.32,PROM,Promised Land State Park,570.676.2426,PA,Greentown,98.44,149,3 hours,2h 29m,,,,,,
-74.221,42.027,KENN,Kenneth L. Wilson Campground,845.679.7020,NY,Mt.Tremper,115.04,152,3 hours,2h 32m,https://newyorkstateparks.reserveamerica.com/camping/kenneth%20l.%20wilson/r/campgroundDetails.do?contractCode=NY&parkId=117,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets"
-74.691,41.957,MONG,Mongaup Pond Campground,845.439.4233,NY,DeBruce,113.57,153,3 hours,2h 33m,http://newyorkstateparks.reserveamerica.com/Camping/Mongaup%20Pond/r/campgroundDetails.do?subTabIndex=campDetail&agency=NY&parkId=100,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets"
-74.037,42.203,NORS,North/South Lake  Campground,518.589.5058,NY,Haines Falls,118.29,153,3 hours,2h 33m,https://newyorkstateparks.reserveamerica.com/camping/northsouth-lake-campground/r/campgroundDetails.do?contractCode=NY&parkId=5,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets"
-75.708,41.565,LACK,Lackawanna State Park,570.645.2225,PA,Dalton,145.8,153,3 hours,2h 33m,,,,,,
-75.23,41.432,CAFF,Caffrey Rec Area,570.226.4608,PA,Lakeville,102.95,155,3 hours,2h 35m,,,,,,
-75.84,40.03,HIBE,Hibernia County Park,610.383.3812,PA,Coatesville,127.48,155,3 hours,2h 35m,,,,,,
-74.434,39.624,BASS,Bass River State Forest,609.296.1114,NJ,Tuckerton,107.97,156,3 hours,2h 36m,https://www.njportal.com/DEP/NJOutdoors/Park/Details?locationId=3,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",no,"<i class=""fa-solid fa-dog"" style=""color: #c6533f;""></i>",Showers
-72.016,41.008,HITH,Hither Hills State Park,631.668.2554,NY,Montauk,120.04,156,3 hours,2h 36m,https://newyorkstateparks.reserveamerica.com/camping/hitherhillsstatepark/r/campgroundDetails.do?contractCode=NY&parkId=297,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",no,"<i class=""fa-solid fa-dog"" style=""color: #c6533f;""></i>",Showers
-73.004,41.935,HAWS,Haws Memorial - American Legion State Forest,860. 379.0922,CT,Barkhamsted,123.86,157,3 hours,2h 37m,,,,,,
-74.37,42.033,WOOD,Woodland Valley Campground,845.688.7647,NY,Phoenicia,119.53,159,3 hours,2h 39m,,,,,,
-75.797,40.196,FREN,French Creek State Park,650.562.5650,PA,Elverson,129.47,159,3 hours,2h 39m,,,,,,
-74.839,41.979,BEVK,Beaverkill Campground,845.439.4281,NY,Roscoe,156.42,160,3 hours,2h 40m,https://newyorkstateparks.reserveamerica.com/camping/beaverkill/r/campgroundDetails.do?contractCode=NY&parkId=90,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets"
-74.849,39.243,BELL,Belleplain State Forest,609.861.2404,NJ,Woodbine,130.51,162,3 hours,2h 42m,https://www.njportal.com/DEP/NJOutdoors/Park/Details?locationId=4,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets"
-76.297,40.028,MILL,Mill Creek Campground,717.299.8215,PA,Lancaster,163.47,162,3 hours,2h 42m,,,,,,
-72.342,41.484,DEVI,Devils Hopyard State Park,860.526.2336,CT,East Haddam,118.28,162,3 hours,2h 42m,,,,,,
-72.243,41.31,ROCK,Rocky Neck State Park,860.739.5471,CT,Niantic,117.96,162,3 hours,2h 42m,,,,,,
-74.208,42.151,DEVI,Devils Tombstone Campground,845.688.7160,NY,Lanesville,124.02,169,3 hours,2h 49m,https://newyorkstateparks.reserveamerica.com/camping/devils-tombstone-campground/r/campgroundDetails.do?contractCode=NY&parkId=27,no,"<i class=""fa-solid fa-shower"" style=""color: #c6533f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>",Pets
-75.069,42.118,BEAR,Bear Spring Mountain Campground,607.865.6989,NY,Walton,143.85,173,3 hours,2h 53m,https://newyorkstateparks.reserveamerica.com/camping/bear-spring-mountain/r/campgroundDetails.do?contractCode=NY&parkId=13,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets"
-74.735,42.036,LITP,Little Pond Campground,845.439.5480,NY,Margaretville,126.89,173,3 hours,2h 53m,https://newyorkstateparks.reserveamerica.com/camping/little%20pond%20campground/r/campgroundDetails.do?contractCode=NY&parkId=495,yes,"<i class=""fa-solid fa-shower"" style=""color: #8cc63f;""></i>",yes,"<i class=""fa-solid fa-dog"" style=""color: #8cc63f;""></i>","Showers, Pets"
-76.12,40.785,LOCU,Locust Lake State Park,570.487.2404,PA,Barnesville,133.47,175,3 hours,2h 55m,,,,,,
-76.048,41.255,MOON,Moon Lake County Park,570.477.5467,PA,Hunlock Creek,139.98,175,3 hours,2h 55m,,,,,,
-76.279,39.85,MUDD,Muddy Run Park ,717.284.4325,PA,Holtwood,159.13,175,3 hours,2h 55m,,,,,,
-75.895,41.347,FRAN,Frances Slocum State Park,570.858.2525,PA,Wyoming,133.51,178,3 hours,2h 58m,,,,,,
-76.409,40.357,STOE,Stoevers Dam Park,717.228.4470,PA,Lebanon,147.8,180,3 hours,3h,,,,,,
-75.068,40.506,TINI,Tinicum County Park,215.757.0571,PA,Erwinna,145.07,180,3 hours,3h,,,,,,
-71.926,41.602,HOPE,Hopeville Pond State Park,860.376.2920,CT,Griswold,144.69,180,3 hours,3h,,,,,,
-72.093,41.651,SALT,Salt Rock State Park,860.822.0884,CT,Baltic,143.1,180,3 hours,3h,,,,,,
